"Area_Day21" "Area_Growth" "Area_Day29_MPH" "Area_Day21_MPH" "Area_Day29" "Area_Growth_MPH" "LTF" "LTF_MPH" "DTF_MPH" "DTF"
"C001" 77.4803 25.8931 1.586 0.2142 52.3031 1.1399 2.5302 0.09 -0.0195 1.8034
"C002" 70.0266 22.5082 -3.0652 -3.6557 46.4819 -1.8137 2.4674 0.0475 -0.0123 1.8145
"C003" 86.4012 27.7321 1.807 6.8337 56.1731 0.6482 2.5296 0.05 -0.0083 1.8165
"C004" 76.5179 27.7554 2.3875 1.0613 55.0911 1.4646 2.4538 7e-04 -0.0257 1.785
"C005" 64.7584 24.1447 -2.7511 -10.0327 48.1686 -1.0297 2.454 0.0064 0.0012 1.8222
"C006" 77.6647 24.7966 -0.5501 0.0106 50.8141 -0.4162 2.5028 0.1073 -0.0124 1.8042
"C007" 81.8055 25.8087 1.8399 3.8892 52.7801 0.9622 2.4631 0.0777 -0.0202 1.8021
"C009" 78.1968 26.6036 1.2348 2.559 53.4787 0.6261 2.436 0.0117 -0.016 1.8062
"C010" 72.5183 25.9252 1.8361 -0.0432 51.7644 1.2376 2.4716 0.0842 -0.0203 1.7919
"C011" 78.5969 27.3146 2.1527 0.5857 54.5546 1.4024 2.5655 0.1953 -0.0048 1.7921
"C012" 78.7776 25.2544 -0.7576 2.9933 51.6206 -0.805 2.4989 0.025 -0.0259 1.7936
"C013" 72.3685 25.3201 -0.1022 -1.5625 50.8434 0.0686 2.4327 0.1405 0.0025 1.7913
"C014" 78.0523 25.4323 3.0457 7.3923 51.7903 1.3914 2.6112 0.135 -0.0137 1.8147
"C015" 84.5233 24.9634 -0.5213 5.6024 52.0944 -0.9965 2.4396 0.2151 0.0068 1.7951
"C016" 78.14 25.3248 0.8658 2.6348 51.6124 0.3704 2.5231 0.2003 0.0148 1.8105
"C017" 75.9202 23.497 0.1547 3.4159 48.8037 -0.2633 2.5059 0.2992 0.0229 1.8097
"C018" 88.1416 28.3086 6.4884 12.4103 57.179 3.3785 2.4684 0.0607 -0.0461 1.777
"C020" 88.1896 27.8032 8.2559 14.4215 56.5225 4.4637 2.5149 0.0167 -0.044 1.7917
"C021" 79.4041 28.0944 2.2272 1.2842 55.8379 1.3981 2.526 0.0239 -0.0202 1.8032
"C022" 89.5751 28.8598 8.1474 17.9652 58.161 4.0383 2.6076 0.1204 -0.0101 1.8119
"C023" 95.2032 29.3917 9.0988 18.9967 59.7077 4.5665 2.4304 0.0125 -0.0436 1.7715
"C024" 78.1133 23.6056 1.0937 6.8679 49.3259 -0.027 2.605 0.0703 0.0203 1.8537
"C025" 87.0999 25.6464 3.2652 10.6312 53.45 1.1875 2.6108 0.2029 0.0207 1.8416
"C026" 82.4637 29.1136 5.8264 7.117 57.7291 3.333 2.6067 0.0684 -0.0114 1.8121
"C027" 90.1147 30.1924 8.1869 13.8888 60.1829 4.4106 2.4743 -0.0094 0.0139 1.8235
"C029" 87.1942 29.1378 9.0921 16.0802 58.2651 4.8378 2.4683 0.0585 -0.0317 1.779
"C030" 85.9865 29.0135 5.8566 9.3106 57.9909 3.1851 2.5906 0.1501 0.004 1.8115
"C031" 91.8213 30.6768 9.4934 17.4846 61.1163 5.0051 2.5639 0.0675 -0.0342 1.7838
"C032" 77.7961 27.7951 5.0114 5.3127 55.2018 2.9313 2.4725 0.1579 -0.0138 1.7735
"C033" 85.8201 29.1103 10.0952 16.6077 58.0845 5.4572 2.5618 0.0632 -0.0115 1.8155
"C034" 92.866 27.8969 5.5443 15.3926 57.4047 2.3246 2.3998 0.1529 -0.0167 1.7701
"C035" 73.4945 24.967 0.707 -0.3119 50.4528 0.5168 2.371 -0.1586 -0.0445 1.79
"C053" 81.3227 27.8896 5.7604 5.5042 55.7222 3.524 2.6039 0.1413 -0.0224 1.7991
"C055" 74.3212 23.7924 0.3615 0.5517 49.1799 0.035 2.5918 0.1169 0.0152 1.8404
"C056" 75.4788 24.6947 2.0455 0.1758 50.3388 1.532 2.5048 -0.0259 -0.0059 1.8296
"C057" 79.8448 27.4551 1.2766 0.1901 54.9139 0.9358 2.5892 0.0546 -0.0014 1.8218
"C058" 65.6302 24.3226 -1.6519 -9.2482 48.5391 -0.2872 2.5134 0.0109 -0.0225 1.7968
"C059" 71.6389 26.4099 0.3879 -5.4055 52.4182 0.7516 2.629 0.0181 0.0047 1.8369
"C060" 79.6416 26.6227 3.507 1.638 53.7184 2.3407 2.5722 0.1319 -0.0057 1.8149
"C061" 81.6746 27.6315 6.1897 9.0258 55.3893 3.5084 2.5855 0.1432 -0.0097 1.8008
"C062" 74.9011 24.2668 -2.518 -3.3096 49.6429 -1.3847 2.6047 0.1318 0.0074 1.8147
"C063" 67.3418 25.571 -0.9877 -10.7566 50.6855 0.2234 2.5554 0.1302 0.01 1.8052
"C064" 76.7935 27.2221 3.6886 3.0773 54.2297 2.2936 2.674 0.2317 0.0295 1.8337
"C065" 82.2846 26.8628 2.478 3.2764 54.365 1.4674 2.6012 0.3218 0.0199 1.8066
