NSFTV_ID,Na:K Shoot ,Na Shoot ,K Shoot Salt ,K Shoot Control ,Na:K Root ,Na Root ,K Root Salt 
NSFTV_1,217.9371447,0.194966101,0.89606665,0.911764838,500.9474211,0.293376918,0.604581235
NSFTV_10,137.4868364,0.125044726,0.910901121,0.923518139,427.0096533,0.297045884,0.706646111
NSFTV_100,165.0295554,0.166773265,1.020647976,1.079537963,454.0930731,0.312705972,0.672823364
NSFTV_101,146.2631636,0.157455274,1.101098879,1.08686384,466.6072066,0.306818637,0.666206795
NSFTV_102,187.6631636,0.153705274,0.833848879,0.904283937,522.5942998,0.420535029,0.807683594
NSFTV_103,119.3381636,0.110205274,0.942098879,1.095935764,383.7196031,0.272321723,0.713234154
NSFTV_104,124.8381636,0.112205274,0.896598879,1.006132083,412.3150846,0.285515704,0.702563331
NSFTV_105,162.5132435,0.172110041,1.061351632,1.12161346,456.7573856,0.320587757,0.702524918
NSFTV_106,109.2381636,0.098955274,0.912598879,0.885321351,403.4032124,0.30195964,0.748119277
NSFTV_107,200.5131636,0.182705274,0.928098879,0.981362457,550.2194015,0.376623629,0.681067289
NSFTV_108,188.2628887,0.181439932,0.973981309,NA,581.6839083,0.379724561,0.640001383
NSFTV_109,165.2631636,0.158205274,0.997348879,1.123267298,638.7919893,0.475372572,0.736560394
NSFTV_11,171.1112863,0.159611913,0.94641844,1.116711599,662.9899922,0.480133833,0.729984278
NSFTV_110,160.9132435,0.157110041,0.972351632,1.130923342,542.6732925,0.460296987,0.833910973
NSFTV_112,145.8881636,0.133955274,0.902598879,0.969467111,412.1719608,0.34624105,0.845444533
NSFTV_113,144.8295554,0.131106599,0.908314642,0.903310751,455.125139,0.334531761,0.745130288
NSFTV_114,180.4381636,0.157455274,0.882098879,1.068917325,472.0473376,0.313044067,0.661246649
NSFTV_115,282.9131636,0.253705274,0.924098879,0.975989274,504.4102059,0.27986709,0.760858202
NSFTV_116,374.4881636,0.302705274,0.824098879,0.979663087,547.0590314,0.387540528,0.61738098
NSFTV_117,254.0881636,0.224955274,0.896848879,1.046495057,604.3977104,0.374433996,0.606948115
NSFTV_118,118.7462648,0.111789435,0.941737609,1.055110597,433.7082628,0.291678594,0.672771223
NSFTV_119,173.6289721,0.156066498,0.913051291,0.978991832,519.9500614,0.295617198,0.570241323
NSFTV_120,246.3128553,0.197533899,0.80743335,0.970615465,584.3840064,0.406755304,0.69964501
NSFTV_121,213.1128553,0.190283899,0.91168335,0.97280675,481.3637247,0.382445384,0.795385976
NSFTV_122,236.0878553,0.153783899,0.66743335,0.848055711,419.4052216,0.28114643,0.674361395
NSFTV_123,209.9628553,0.191033899,0.91568335,0.933043452,639.6260529,0.456868582,0.713046719
NSFTV_124,171.3124577,0.160910903,0.963659809,1.008428244,421.4421988,0.31064941,0.737285423
NSFTV_125,296.2878553,0.244033899,0.84693335,0.984720139,582.9256889,0.415388072,0.714288282
NSFTV_128,183.4628553,0.149283899,0.82618335,0.981246953,452.9529631,0.280944012,0.643112772
NSFTV_129,325.5128553,0.289283899,0.90393335,0.912748075,631.8930208,0.503467479,0.785053645
NSFTV_13,122.0618364,0.105294726,0.860151121,0.994513483,484.8913665,0.189651689,0.488864218
NSFTV_130,247.6755382,0.20891574,0.841073272,0.996554279,622.0789694,0.531515978,0.854792992
NSFTV_131,111.0378553,0.107033899,0.95868335,0.989362513,451.7028432,0.352878416,0.788049663
NSFTV_132,100.6378553,0.092033899,0.90018335,1.002359244,569.0636024,0.398403787,0.705397744
NSFTV_133,233.4124671,0.233457758,1.004515068,NA,466.5577504,0.417299101,0.883975626
NSFTV_134,135.0628553,0.123533899,0.91618335,1.038117229,400.2823173,0.215808183,0.551924898
NSFTV_135,227.6128553,0.205533899,0.91518335,0.961566154,459.5691388,0.326824755,0.710985074
NSFTV_138,178.1378553,0.123783899,0.73193335,0.831111257,447.189886,0.266625228,0.597772147
NSFTV_139,197.6378553,0.168783899,0.86068335,0.976694848,472.3123594,0.373671931,0.80028033
NSFTV_14,147.0868364,0.124044726,0.834651121,0.994865777,454.6856417,0.382180372,0.844654176
NSFTV_140,175.6878553,0.143783899,0.82993335,1.092929743,453.8765891,0.336287399,0.747809446
NSFTV_141,371.5128553,0.275033899,0.76743335,1.002674043,547.5802764,0.474369375,0.867422901
NSFTV_142,230.3378553,0.195033899,0.85718335,0.830917707,539.77047,0.373450246,0.70404551
NSFTV_143,206.8628553,0.172783899,0.84543335,0.9911101,378.3541995,0.302281724,0.797145314
NSFTV_144,196.6628553,0.177783899,0.91418335,1.007249719,416.1611498,0.331873334,0.825073014
NSFTV_145,209.0378553,0.191533899,0.91818335,1.094858645,433.3868753,0.273724096,0.632763558
NSFTV_146,118.1378553,0.083533899,0.73768335,0.820424767,475.2189431,0.318680767,0.67659484
NSFTV_147,183.3628553,0.151033899,0.84243335,0.875985885,441.9868357,0.292450663,0.667890593
NSFTV_148,193.5378553,0.158783899,0.81043335,1.005136843,586.9277264,0.388907802,0.662457724
NSFTV_149,203.0378553,0.188033899,0.92943335,0.971312934,677.4001848,0.358842502,0.534049093
NSFTV_15,161.9871447,0.139966101,0.87831665,0.843207322,445.8571669,0.278748107,0.63032685
NSFTV_150,216.7378553,0.196283899,0.91518335,1.025528068,499.4868625,0.292748009,0.591338591
NSFTV_151,240.1878553,0.234533899,0.97393335,1.088496136,445.762376,0.268515315,0.639096313
NSFTV_152,84.78785531,0.099283899,1.10193335,1.197536731,473.9718391,0.399445438,0.837655351
NSFTV_153,190.1878553,0.180783899,0.95143335,1.161187793,543.3855051,0.455778483,0.836310831
NSFTV_154,224.5378553,0.209283899,0.94118335,1.173771583,565.1174507,0.355720388,0.63285749
NSFTV_155,171.9296408,0.145138939,0.848160576,1.139726362,420.051523,0.325281093,0.767630718
